date,imports,exports,balance
2024-01,56258939964.0,60998713910.0,4739773946.0
2024-02,59849174698.0,61572666628.0,1723491930.0
2024-03,64687481665.0,64250755748.0,-436725917.0
2024-04,65599952067.0,64621065869.0,-978886198.0
2024-05,66191459267.0,65447611725.0,-743847542.0
2024-06,65212935796.0,65993180208.0,780244412.0
2024-07,63940217775.0,66262971159.0,2322753384.0
2024-08,66693956565.0,62679523894.0,-4014432671.0
2024-09,64560398860.0,64786961940.0,226563080.0
2024-10,68163633288.0,68375805478.0,212172190.0
2024-11,64208501519.0,65791483047.0,1582981528.0
2024-12,61844534630.0,70013999303.0,8169464673.0
2025-01,62954877394.0,73727193915.0,10772316521.0
2025-02,62178657675.0,65307352181.0,3128694506.0
2025-03,72473863902.0,71927782105.0,-546081797.0
2025-04,66413585024.0,60260470430.0,-6153114594.0
2025-05,67628783755.0,62633823204.0,-4994960551.0
2025-06,67485963881.0,61246571429.0,-6239392452.0
2025-07,65774454819.0,62151079005.0,-3623375814.0
2025-08,65632951545.0,57941558946.0,-7691392599.0
2025-09,63802350815.0,64536278207.0,733927392.0
2025-10,69220015106.0,67936077796.0,-1283937310.0
2025-11,63234109349.0,62972325973.0,-261783376.0
2025-12,62142357099.0,68351339857.0,6208982758.0
2026-01,59659540937.0,60284503950.0,624963013.0
2026-02,64314583407.0,61397613968.0,-2916969439.0
2026-03,73638648148.0,73455266669.0,-183381479.0
2026-04,69344723064.0,72462265898.0,3117542834.0
